ts,run_id,lane,tier,model,effort,round,rc,seconds,chars
2026-06-11T22:53:31,s01-v4-realistic-opus-low-r12,0,realistic,opus,low,12,0,16.804,1249
2026-06-11T22:53:35,s01-v4-control-fable-xyz-r17,1,control,fable,xyz,17,0,17.197,987
2026-06-11T22:53:57,s01-v4-easy-fable-max-r17,2,easy,fable,max,17,0,34.475,1133
2026-06-11T22:54:13,s01-v4-hard-fable-high-r01,1,hard,fable,high,1,0,37.058,854
2026-06-11T22:54:14,s01-v4-realistic-opus-low-r01,2,realistic,opus,low,1,0,16.84,1029
2026-06-11T22:54:37,s01-v4-realistic-fable-high-r17,2,realistic,fable,high,17,0,23.38,1025
2026-06-11T22:54:40,s01-v4-realistic-fable-max-r12,0,realistic,fable,max,12,0,68.789,1265
2026-06-11T22:54:50,s01-v4-realistic-opus-high-r10,1,realistic,opus,high,10,0,37.054,1010
2026-06-11T22:54:59,s01-v4-control-fable-xyz-r14,0,control,fable,xyz,14,0,18.832,1293
2026-06-11T22:55:08,s01-v4-realistic-fable-low-r20,1,realistic,fable,low,20,0,18.7,987
2026-06-11T22:55:18,s01-v4-hard-fable-high-r14,2,hard,fable,high,14,0,41.225,738
2026-06-11T22:55:19,s01-v4-realistic-opus-low-r08,0,realistic,opus,low,8,0,20.366,956
2026-06-11T22:55:32,s01-v4-hard-fable-medium-r07,0,hard,fable,medium,7,0,12.71,523
2026-06-11T22:55:42,s01-v4-hard-fable-low-r07,0,hard,fable,low,7,0,10.4,431
2026-06-11T22:55:50,s01-v4-hard-fable-max-r19,1,hard,fable,max,19,0,41.415,511
2026-06-11T22:55:53,s01-v4-hard-fable-xhigh-r12,2,hard,fable,xhigh,12,0,34.986,954
2026-06-11T22:55:54,s01-v4-easy-fable-medium-r06,0,easy,fable,medium,6,0,11.658,932
2026-06-11T22:56:03,s01-v4-hard-fable-medium-r20,1,hard,fable,medium,20,0,12.829,609
2026-06-11T22:56:30,s01-v4-realistic-fable-high-r12,1,realistic,fable,high,12,0,27.704,1164
2026-06-11T22:56:31,s01-v4-realistic-opus-max-r16,0,realistic,opus,max,16,0,37.269,1013
2026-06-11T22:56:50,s01-v4-hard-fable-xhigh-r14,2,hard,fable,xhigh,14,0,56.458,765
2026-06-11T22:57:03,s01-v4-realistic-fable-xhigh-r03,1,realistic,fable,xhigh,3,0,32.275,1078
2026-06-11T22:57:09,s01-v4-control-fable-xyz-r02,2,control,fable,xyz,2,0,18.947,1069
2026-06-11T22:57:15,s01-v4-hard-fable-low-r03,1,hard,fable,low,3,0,12.504,460
2026-06-11T22:57:20,s01-v4-hard-fable-xhigh-r16,0,hard,fable,xhigh,16,0,49.021,1220
2026-06-11T22:57:38,s01-v4-realistic-fable-low-r03,0,realistic,fable,low,3,0,17.392,851
2026-06-11T22:57:44,s01-v4-realistic-fable-medium-r04,1,realistic,fable,medium,4,0,28.768,985
2026-06-11T22:58:02,s01-v4-hard-fable-max-r16,2,hard,fable,max,16,0,52.874,889
2026-06-11T22:58:06,s01-v4-realistic-opus-medium-r08,1,realistic,opus,medium,8,0,22.65,958
2026-06-11T22:58:15,s01-v4-easy-fable-medium-r17,2,easy,fable,medium,17,0,13.767,1303
2026-06-11T22:58:16,s01-v4-realistic-fable-xhigh-r07,0,realistic,fable,xhigh,7,0,38.699,1283
2026-06-11T22:58:27,s01-v4-realistic-opus-high-r13,1,realistic,opus,high,13,0,20.234,1006
2026-06-11T22:58:37,s01-v4-easy-fable-xhigh-r08,2,easy,fable,xhigh,8,0,21.921,1190
2026-06-11T22:58:50,s01-v4-hard-fable-high-r19,0,hard,fable,high,19,0,33.554,527
2026-06-11T22:59:06,s01-v4-easy-fable-high-r19,0,easy,fable,high,19,0,16.081,1285
2026-06-11T22:59:07,s01-v4-hard-fable-xhigh-r11,1,hard,fable,xhigh,11,0,40.534,1061
2026-06-11T22:59:30,s01-v4-realistic-opus-low-r13,1,realistic,opus,low,13,0,22.673,994
2026-06-11T22:59:55,s01-v4-realistic-fable-xhigh-r19,1,realistic,fable,xhigh,19,0,24.781,1241
2026-06-11T22:59:58,s01-v4-realistic-fable-max-r18,2,realistic,fable,max,18,0,81.173,1333
2026-06-11T23:00:10,s01-v4-easy-fable-medium-r08,2,easy,fable,medium,8,0,11.424,950
2026-06-11T23:00:15,s01-v4-realistic-opus-high-r18,1,realistic,opus,high,18,0,20.092,962
2026-06-11T23:00:17,s01-v4-realistic-opus-max-r07,0,realistic,opus,max,7,0,70.893,1241
2026-06-11T23:00:27,s01-v4-easy-fable-low-r12,1,easy,fable,low,12,0,12.495,971
2026-06-11T23:00:27,s01-v4-control-fable-xyz-r08,2,control,fable,xyz,8,0,17.531,1142
2026-06-11T23:00:32,s01-v4-easy-fable-high-r11,0,easy,fable,high,11,0,15.663,1257
