ts,run_id,lane,exp,model,effort,q,round,rc,seconds,chars
2026-06-11T20:18:50,s02-speed-fable-Q4-r04,0,speed,fable,default,Q4,4,0,12.358,137
2026-06-11T20:18:55,s02-speed-opus-Q4-r01,2,speed,opus,default,Q4,1,0,9.609,138
2026-06-11T20:19:05,s02-speed-fable-Q2-r10,2,speed,fable,default,Q2,10,0,9.998,342
2026-06-11T20:19:18,s02-speed-opus-Q2-r06,2,speed,opus,default,Q2,6,0,13.274,256
2026-06-11T20:19:27,s02-speed-opus-Q4-r05,2,speed,opus,default,Q4,5,0,8.541,136
2026-06-11T20:19:34,s02-pin-fable-Q1-r05,2,pin,fable,high,Q1,5,0,6.688,143
2026-06-11T20:22:29,s02-audit-opus-AUD-r10,1,audit,opus,default,AUD,10,0,227.381,9497
2026-06-11T20:22:36,s02-speed-fable-Q1-r10,1,speed,fable,default,Q1,10,0,7.469,176
2026-06-11T20:22:46,s02-speed-opus-Q5-r03,1,speed,opus,default,Q5,3,0,9.876,4
2026-06-11T20:22:59,s02-audit-opus-AUD-r03,0,audit,opus,default,AUD,3,0,248.721,10545
2026-06-11T20:23:04,s02-speed-fable-Q3-r09,1,speed,fable,default,Q3,9,0,17.895,40
2026-06-11T20:23:12,s02-speed-fable-Q5-r01,0,speed,fable,default,Q5,1,0,13.683,17
2026-06-11T20:23:15,s02-speed-opus-Q4-r02,1,speed,opus,default,Q4,2,0,10.876,190
2026-06-11T20:23:24,s02-speed-opus-Q2-r04,1,speed,opus,default,Q2,4,0,8.549,297
2026-06-11T20:24:33,s02-audit-opus-AUD-r09,2,audit,opus,default,AUD,9,0,299.094,10862
2026-06-11T20:24:41,s02-speed-opus-Q3-r06,2,speed,opus,default,Q3,6,0,8.51,67
2026-06-11T20:24:56,s02-speed-opus-Q3-r03,2,speed,opus,default,Q3,3,0,14.912,44
2026-06-11T20:25:08,s02-speed-fable-Q5-r04,2,speed,fable,default,Q5,4,0,11.697,17
2026-06-11T20:25:17,s02-speed-opus-Q5-r10,2,speed,opus,default,Q5,10,0,9.043,40
2026-06-11T20:25:25,s02-speed-fable-Q1-r06,2,speed,fable,default,Q1,6,0,7.692,171
2026-06-11T20:25:40,s02-speed-fable-Q2-r06,2,speed,fable,default,Q2,6,0,15.234,341
2026-06-11T20:25:52,s02-speed-opus-Q4-r07,2,speed,opus,default,Q4,7,0,11.973,141
2026-06-11T20:26:08,s02-speed-fable-Q3-r04,2,speed,fable,default,Q3,4,0,16.547,40
2026-06-11T20:26:13,s02-speed-opus-Q1-r03,2,speed,opus,default,Q1,3,0,4.875,116
2026-06-11T20:26:22,s02-speed-opus-Q3-r04,2,speed,opus,default,Q3,4,0,9.059,83
2026-06-11T20:26:34,s02-speed-fable-Q5-r10,2,speed,fable,default,Q5,10,0,11.97,17
2026-06-11T20:26:46,s02-audit-opus-AUD-r06,0,audit,opus,default,AUD,6,0,214.12,8784
2026-06-11T20:26:47,s02-speed-fable-Q5-r06,2,speed,fable,default,Q5,6,0,12.67,42
2026-06-11T20:26:58,s02-speed-fable-Q4-r09,2,speed,fable,default,Q4,9,0,11.09,131
2026-06-11T20:27:07,s02-speed-opus-Q3-r10,2,speed,opus,default,Q3,10,0,8.57,82
2026-06-11T20:28:16,s02-audit-fable-AUD-r07,1,audit,fable,default,AUD,7,0,292.735,13404
2026-06-11T20:28:31,s02-speed-fable-Q5-r02,1,speed,fable,default,Q5,2,0,14.785,17
2026-06-11T20:28:39,s02-speed-opus-Q2-r05,1,speed,opus,default,Q2,5,0,7.871,275
2026-06-11T20:28:49,s02-speed-opus-Q4-r04,1,speed,opus,default,Q4,4,0,10.275,129
2026-06-11T20:28:59,s02-speed-opus-Q2-r03,1,speed,opus,default,Q2,3,0,9.772,299
2026-06-11T20:29:11,s02-speed-fable-Q4-r06,1,speed,fable,default,Q4,6,0,12.207,148
2026-06-11T20:29:21,s02-speed-opus-Q2-r07,1,speed,opus,default,Q2,7,0,10.122,290
2026-06-11T20:29:31,s02-speed-opus-Q1-r01,1,speed,opus,default,Q1,1,0,9.67,159
2026-06-11T20:29:39,s02-pin-fable-Q1-r07,1,pin,fable,high,Q1,7,0,8.107,106
2026-06-11T20:29:54,s02-speed-fable-Q3-r08,1,speed,fable,default,Q3,8,0,15.047,44
2026-06-11T20:30:01,s02-speed-fable-Q1-r09,1,speed,fable,default,Q1,9,0,7.058,118
2026-06-11T20:30:19,s02-speed-fable-Q3-r10,1,speed,fable,default,Q3,10,0,17.733,40
2026-06-11T20:30:27,s02-pin-fable-Q1-r03,1,pin,fable,high,Q1,3,0,8.428,145
2026-06-11T20:30:40,s02-speed-fable-Q5-r08,1,speed,fable,default,Q5,8,0,12.441,17
2026-06-11T20:31:36,s02-audit-opus-AUD-r05,2,audit,opus,default,AUD,5,0,269.062,11048
2026-06-11T20:31:42,s02-pin-fable-Q1-r04,2,pin,fable,high,Q1,4,0,6.53,145
2026-06-11T20:31:53,s02-speed-fable-Q4-r03,2,speed,fable,default,Q4,3,0,11.025,124
2026-06-11T20:31:58,s02-pin-opus-Q1-r10,2,pin,opus,high,Q1,10,0,4.475,132
2026-06-11T20:32:19,s02-audit-fable-AUD-r04,0,audit,fable,default,AUD,4,0,332.16,15488
2026-06-11T20:32:34,s02-speed-fable-Q2-r07,0,speed,fable,default,Q2,7,0,15.684,310
2026-06-11T20:32:44,s02-speed-opus-Q5-r02,0,speed,opus,default,Q5,2,0,9.489,36
2026-06-11T20:32:54,s02-speed-fable-Q5-r03,0,speed,fable,default,Q5,3,0,10.629,24
2026-06-11T20:33:08,s02-speed-fable-Q2-r04,0,speed,fable,default,Q2,4,0,13.988,343
2026-06-11T20:33:17,s02-speed-opus-Q5-r07,0,speed,opus,default,Q5,7,0,8.205,91
2026-06-11T20:33:21,s02-pin-opus-Q1-r05,0,pin,opus,high,Q1,5,0,4.371,132
2026-06-11T20:33:29,s02-speed-opus-Q4-r03,0,speed,opus,default,Q4,3,0,8.414,189
2026-06-11T20:33:41,s02-speed-opus-Q2-r01,0,speed,opus,default,Q2,1,0,11.735,282
2026-06-11T20:33:48,s02-speed-fable-Q1-r08,0,speed,fable,default,Q1,8,0,6.859,145
2026-06-11T20:34:07,s02-speed-opus-Q3-r01,0,speed,opus,default,Q3,1,0,18.654,44
2026-06-11T20:34:18,s02-pin-fable-Q1-r02,0,pin,fable,high,Q1,2,0,11.162,118
