ts,run_id,round,prompt_id,model,rc,t_first_any,t_first_text,t_total,output_tokens,input_tokens,chars
2026-06-11T21:09:12,s03-easy-opus-r01,1,easy,opus,0,4.843,8.608,13.291,660,6393,877
2026-06-11T21:09:57,s03-reason-fable-r01,1,reason,fable,0,5.811,13.41,44.781,2396,7229,772
2026-06-11T21:10:29,s03-reason-opus-r01,1,reason,opus,0,6.331,25.758,32.058,2632,6393,1469
2026-06-11T21:10:51,s03-easy-fable-r01,1,easy,fable,0,11.007,15.964,22.61,812,6393,1254
2026-06-11T21:11:08,s03-easy-opus-r02,2,easy,opus,0,5.312,10.091,16.566,731,2,1080
2026-06-11T21:11:51,s03-reason-fable-r02,2,reason,fable,0,7.174,12.855,43.061,2118,7229,1034
2026-06-11T21:12:17,s03-reason-opus-r02,2,reason,opus,0,6.22,18.487,26.072,2059,6393,1350
2026-06-11T21:12:37,s03-easy-fable-r02,2,easy,fable,0,10.139,13.71,19.656,745,6393,1118
2026-06-11T21:12:52,s03-easy-fable-r03,3,easy,fable,0,6.46,10.212,15.462,637,2,875
2026-06-11T21:13:09,s03-easy-opus-r03,3,easy,opus,0,5.135,10.812,17.118,834,6393,1175
2026-06-11T21:13:56,s03-reason-opus-r03,3,reason,opus,0,4.368,18.082,46.202,3015,840,634
2026-06-11T21:14:35,s03-reason-fable-r03,3,reason,fable,0,7.337,14.452,39.259,1939,7229,708
2026-06-11T21:14:54,s03-easy-fable-r04,4,easy,fable,0,8.775,13.953,19.469,733,2,989
2026-06-11T21:15:22,s03-reason-opus-r04,4,reason,opus,0,4.957,18.919,27.301,2368,2,1459
2026-06-11T21:16:08,s03-reason-fable-r04,4,reason,fable,0,7.478,18.603,45.989,2526,7229,728
2026-06-11T21:16:24,s03-easy-opus-r04,4,easy,opus,0,5.076,10.765,16.244,824,2,1011
2026-06-11T21:16:41,s03-easy-fable-r05,5,easy,fable,0,6.984,10.782,17.389,729,2,1128
2026-06-11T21:16:57,s03-easy-opus-r05,5,easy,opus,0,4.049,8.753,15.31,794,2,1208
2026-06-11T21:17:41,s03-reason-fable-r05,5,reason,fable,0,7.411,16.483,44.5,2443,838,855
2026-06-11T21:18:10,s03-reason-opus-r05,5,reason,opus,0,4.746,21.251,28.852,2413,2,1286
2026-06-11T21:18:38,s03-reason-opus-r06,6,reason,opus,0,4.283,19.419,27.819,2438,2,1436
2026-06-11T21:18:54,s03-easy-fable-r06,6,easy,fable,0,6.448,10.233,16.46,664,2,1105
2026-06-11T21:19:12,s03-easy-opus-r06,6,easy,opus,0,6.8,12.434,17.897,852,2,1062
2026-06-11T21:19:55,s03-reason-fable-r06,6,reason,fable,0,9.771,16.856,42.683,1839,838,800
2026-06-11T21:20:10,s03-easy-opus-r07,7,easy,opus,0,5.125,9.882,15.402,713,2,939
2026-06-11T21:20:51,s03-reason-fable-r07,7,reason,fable,0,8.527,17.501,40.661,2105,836,805
2026-06-11T21:21:20,s03-reason-opus-r07,7,reason,opus,0,5.005,20.646,29.113,2347,2,1392
2026-06-11T21:21:37,s03-easy-fable-r07,7,easy,fable,0,7.055,11.338,17.198,711,2,1089
2026-06-11T21:22:21,s03-reason-fable-r08,8,reason,fable,0,6.214,12.338,43.529,2207,838,953
2026-06-11T21:22:37,s03-easy-opus-r08,8,easy,opus,0,5.803,9.836,16.172,764,2,1178
2026-06-11T21:23:01,s03-reason-opus-r08,8,reason,opus,0,5.355,17.513,24.167,2006,2,1214
2026-06-11T21:23:19,s03-easy-fable-r08,8,easy,fable,0,7.06,11.721,17.933,744,2,1111
2026-06-11T21:23:53,s03-reason-fable-r09,9,reason,fable,0,7.061,11.307,33.923,1807,836,893
2026-06-11T21:24:12,s03-easy-fable-r09,9,easy,fable,0,8.345,13.081,18.776,714,2,1046
2026-06-11T21:24:30,s03-easy-opus-r09,9,easy,opus,0,4.946,11.827,18.123,937,2,1237
2026-06-11T21:24:59,s03-reason-opus-r09,9,reason,opus,0,4.834,21.527,29.332,2579,2,1371
2026-06-11T21:25:16,s03-easy-fable-r10,10,easy,fable,0,7.125,12.307,17.157,724,2,1070
2026-06-11T21:25:32,s03-easy-opus-r10,10,easy,opus,0,5.429,10.627,15.907,718,2,883
2026-06-11T21:26:04,s03-reason-opus-r10,10,reason,opus,0,4.503,23.864,32.02,2889,2,1454
2026-06-11T21:26:51,s03-reason-fable-r10,10,reason,fable,0,8.389,15.566,46.959,2002,838,846
