ts,task,model,effort,round,seconds,output_tokens,reasoning_tokens,input_tokens,chars,correct_or_score,rc,loose_score
2026-07-03T11:26:22,easy,fable,medium,6,15.076,422,,6347,1189,1,0,
2026-07-03T11:26:26,realistic,fable,low,4,27.024,624,,6349,939,,0,
2026-07-03T11:26:35,realistic,fable,high,5,32.479,1375,,6598,1063,,0,
2026-07-03T11:26:47,audit,fable,low,3,21.257,486,,6867,656,3,0,
2026-07-03T11:26:50,realistic,fable,medium,5,27.818,924,,6349,1183,,0,
2026-07-03T11:27:06,realistic,opus,low,8,30.854,1280,,7402,1228,,0,
2026-07-03T11:27:28,realistic,fable,xhigh,7,41.133,1755,,8050,1111,,0,
2026-07-03T11:27:33,realistic,opus,high,1,26.536,1435,,6349,989,,0,
2026-07-03T11:27:37,easy,fable,max,7,47.052,2472,,6769,995,1,0,
2026-07-03T11:27:46,audit,fable,medium,4,17.58,557,,7942,927,3,0,
2026-07-03T11:27:49,easy,fable,low,8,12.625,292,,6769,844,1,0,
2026-07-03T11:27:57,audit,fable,high,2,24.703,815,,6943,1061,3,0,
2026-07-03T11:28:15,realistic,opus,high,8,29.258,1385,,7402,1197,,0,
2026-07-03T11:28:22,easy,fable,max,5,32.473,1468,,6347,1028,1,0,
2026-07-03T11:28:31,easy,fable,low,7,15.981,310,,6769,840,1,0,
2026-07-03T11:28:32,audit,fable,max,1,34.064,1921,,6867,1428,3,0,
2026-07-03T11:28:45,easy,fable,low,1,13.938,314,,6347,840,1,0,
2026-07-03T11:28:47,easy,fable,xhigh,3,15.556,507,,6347,1344,1,0,
2026-07-03T11:29:06,audit,fable,low,7,20.06,552,,7116,815,3,0,
2026-07-03T11:29:10,easy,fable,xhigh,4,23.365,736,,6769,991,1,0,
2026-07-03T11:29:16,realistic,fable,max,1,53.681,3036,,7381,1214,,0,
2026-07-03T11:29:25,realistic,opus,high,7,19.694,928,,12966,1167,,0,
2026-07-03T11:29:37,audit,fable,low,1,27.383,551,,6694,829,3,0,
2026-07-03T11:29:47,audit,fable,max,2,31.301,1884,,6344,1160,3,0,
2026-07-03T11:30:07,realistic,opus,low,7,29.733,1135,,7402,1124,,0,
2026-07-03T11:30:18,audit,fable,xhigh,5,31.132,1077,,6344,1135,3,0,
2026-07-03T11:30:36,realistic,opus,xhigh,8,29.159,1474,,7381,1034,,0,
2026-07-03T11:30:49,realistic,opus,max,1,83.759,5922,,12966,1571,,0,
2026-07-03T11:30:54,easy,fable,max,4,35.464,1492,,6769,1286,1,0,
2026-07-03T11:30:59,realistic,opus,low,1,22.972,1062,,7402,1048,,0,
2026-07-03T11:31:16,easy,fable,xhigh,2,16.414,398,,6769,1054,1,0,
2026-07-03T11:31:18,realistic,opus,medium,4,28.945,1494,,7402,1114,,0,
2026-07-03T11:31:24,easy,fable,max,8,30.809,1624,,6769,1127,1,0,
2026-07-03T11:31:38,audit,fable,low,8,20.382,481,,6694,619,3,0,
2026-07-03T11:31:43,realistic,opus,medium,7,27.603,1192,,7402,1086,,0,
2026-07-03T11:31:57,realistic,opus,high,6,33.12,1380,,7391,1111,,0,
2026-07-03T11:32:03,realistic,fable,low,6,25.135,694,,6349,1021,,0,
2026-07-03T11:32:13,realistic,opus,low,4,29.259,1299,,7381,1125,,0,
2026-07-03T11:32:21,audit,fable,xhigh,3,23.483,1043,,6694,943,3,0,
2026-07-03T11:32:35,realistic,opus,xhigh,4,31.067,1563,,7402,1079,,0,
2026-07-03T11:32:45,realistic,fable,medium,4,32.178,1040,,6349,1372,,0,
2026-07-03T11:32:47,audit,fable,xhigh,1,26.493,1293,,6694,1208,3,0,
2026-07-03T11:32:58,easy,fable,medium,4,13.232,302,,6769,900,1,0,
2026-07-03T11:33:12,realistic,fable,xhigh,3,37.596,1615,,6349,999,,0,
2026-07-03T11:33:12,realistic,opus,low,3,24.876,921,,6349,1021,,0,
2026-07-03T11:33:22,realistic,fable,high,4,23.942,1098,,6349,1113,,0,
2026-07-03T11:33:37,realistic,fable,high,3,24.891,837,,6349,1039,,0,
2026-07-03T11:33:55,audit,fable,max,4,33.212,1754,,6694,1245,3,0,
2026-07-03T11:34:09,audit,fable,max,7,31.328,1925,,6694,1201,3,0,
2026-07-03T11:34:09,realistic,fable,max,5,57.237,2656,,7402,1076,,0,
2026-07-03T11:34:31,easy,fable,xhigh,5,21.318,417,,6520,1092,1,0,
2026-07-03T11:34:34,realistic,opus,low,5,25.338,1052,,6349,1030,,0,
2026-07-03T11:34:57,realistic,opus,max,6,61.833,4516,,6349,1401,,0,
2026-07-03T11:35:01,easy,fable,max,1,30.392,1597,,6347,997,1,0,
2026-07-03T11:35:02,realistic,fable,medium,2,28.353,935,,6349,1014,,0,
2026-07-03T11:35:28,audit,fable,high,7,26.842,929,,7116,1189,3,0,
2026-07-03T11:35:36,easy,fable,max,2,38.903,1986,,6347,1184,1,0,
2026-07-03T11:35:37,realistic,fable,xhigh,1,34.346,1316,,6349,1043,,0,
2026-07-03T11:35:52,realistic,fable,medium,6,24.44,947,,6771,1091,,0,
2026-07-03T11:35:59,realistic,fable,low,8,22.565,699,,6522,990,,0,
2026-07-03T11:36:08,easy,fable,medium,8,15.947,402,,6769,1176,1,0,
2026-07-03T11:36:20,realistic,opus,medium,2,44.312,2234,,7383,1286,,0,
2026-07-03T11:36:23,easy,fable,low,4,14.695,376,,6347,1106,1,0,
2026-07-03T11:36:33,realistic,opus,high,5,33.729,1860,,7381,1104,,0,
2026-07-03T11:36:45,audit,fable,low,6,21.933,484,,6694,656,3,0,
2026-07-03T11:36:48,realistic,opus,high,3,27.68,1207,,7402,1004,,0,
2026-07-03T11:36:59,audit,fable,xhigh,4,25.629,1087,,7116,1164,3,0,
2026-07-03T11:37:16,easy,fable,medium,1,17.663,324,,6769,954,1,0,
2026-07-03T11:37:32,realistic,opus,xhigh,5,43.759,2509,,7402,1235,,0,
2026-07-03T11:37:38,realistic,opus,xhigh,7,52.783,3194,,7381,1247,,0,
2026-07-03T11:37:48,realistic,fable,low,3,31.323,793,,6771,1117,,0,
2026-07-03T11:37:54,easy,fable,high,8,15.963,407,,6347,1080,1,0,
2026-07-03T11:38:01,easy,fable,low,6,13.061,350,,6347,1005,1,0,
2026-07-03T11:38:17,easy,fable,high,5,16.287,435,,6347,1124,1,0,
2026-07-03T11:38:19,easy,fable,xhigh,7,25.047,770,,6769,1252,1,0,
2026-07-03T11:38:38,realistic,opus,max,8,66.311,4464,,7381,1458,,0,
2026-07-03T11:38:40,realistic,fable,low,2,22.574,776,,6598,1041,,0,
2026-07-03T11:38:43,realistic,fable,medium,8,24.404,793,,6349,946,,0,
2026-07-03T11:38:56,audit,fable,low,5,16.776,455,,7116,548,3,0,
2026-07-03T11:39:11,easy,fable,medium,7,14.978,363,,6347,1010,1,0,
2026-07-03T11:39:25,realistic,opus,xhigh,6,41.834,2306,,7381,1115,,0,
2026-07-03T11:39:42,realistic,fable,high,6,31.019,1027,,6349,1122,,0,
2026-07-03T11:39:45,realistic,fable,max,6,66.591,3525,,7381,1379,,0,
2026-07-03T11:39:56,realistic,fable,high,1,31.142,1147,,6771,1209,,0,
2026-07-03T11:40:10,audit,fable,xhigh,8,27.416,1264,,7116,1308,3,0,
2026-07-03T11:40:12,realistic,opus,high,2,27.372,1305,,7402,1149,,0,
2026-07-03T11:40:13,easy,fable,high,7,16.81,383,,6347,1041,1,0,
2026-07-03T11:40:27,easy,fable,low,2,13.464,320,,6769,945,1,0,
2026-07-03T11:40:31,realistic,fable,low,7,18.513,795,,6522,1037,,0,
2026-07-03T11:40:53,easy,fable,max,6,26.206,1144,,6769,1004,1,0,
2026-07-03T11:41:04,audit,fable,xhigh,2,33.462,1114,,6694,1146,3,0,
2026-07-03T11:41:15,realistic,opus,max,5,65.501,4643,,6771,1214,,0,
2026-07-03T11:41:15,realistic,fable,medium,7,22.701,879,,6598,1075,,0,
2026-07-03T11:41:31,realistic,opus,medium,3,27.015,1195,,7381,1072,,0,
2026-07-03T11:41:39,audit,fable,high,6,23.814,916,,6694,987,3,0,
2026-07-03T11:41:52,audit,fable,max,5,36.593,2019,,6694,1091,3,0,
2026-07-03T11:41:55,easy,fable,medium,5,15.701,392,,6347,1054,1,0,
2026-07-03T11:41:59,realistic,fable,low,5,27.525,747,,6771,1036,,0,
2026-07-03T11:42:19,audit,fable,high,5,23.807,947,,7116,1151,3,0,
2026-07-03T11:42:28,audit,fable,max,6,36.622,1794,,6694,1293,3,0,
2026-07-03T11:42:34,realistic,fable,xhigh,6,35.719,1542,,6771,1116,,0,
2026-07-03T11:42:43,audit,fable,medium,3,24.154,776,,6694,1088,3,0,
2026-07-03T11:42:43,easy,fable,medium,2,14.511,321,,6347,920,1,0,
2026-07-03T11:42:52,easy,fable,xhigh,6,17.74,691,,6769,896,1,0,
2026-07-03T11:43:11,audit,fable,medium,6,27.817,673,,7116,1233,3,0,
2026-07-03T11:43:15,realistic,fable,high,2,23.083,1100,,6771,1108,,0,
2026-07-03T11:43:39,audit,fable,high,1,27.788,943,,6694,1140,3,0,
2026-07-03T11:43:43,realistic,fable,high,8,27.59,961,,6349,1176,,0,
2026-07-03T11:43:44,realistic,opus,max,4,60.805,3106,,7381,1193,,0,
2026-07-03T11:43:55,easy,fable,high,4,16.743,392,,6769,1087,1,0,
2026-07-03T11:44:20,realistic,fable,xhigh,4,37.06,1667,,7381,1182,,0,
2026-07-03T11:44:20,realistic,fable,medium,1,24.677,834,,6349,1024,,0,
2026-07-03T11:44:33,easy,fable,low,5,13.343,345,,6347,1050,1,0,
2026-07-03T11:44:39,realistic,fable,max,2,54.928,3193,,6349,1193,,0,
2026-07-03T11:44:57,audit,fable,medium,7,18.127,666,,6867,1140,3,0,
2026-07-03T11:45:01,realistic,fable,max,4,41.215,1857,,6349,1026,,0,
2026-07-03T11:45:21,realistic,fable,max,8,47.984,2722,,7392,1076,,0,
2026-07-03T11:45:27,realistic,fable,medium,3,26.105,737,,6349,971,,0,
2026-07-03T11:45:31,audit,fable,max,3,33.676,1943,,7116,1297,3,0,
2026-07-03T11:45:53,realistic,opus,low,6,22.104,892,,6771,1043,,0,
2026-07-03T11:45:59,realistic,opus,medium,8,31.948,1562,,7391,1113,,0,
2026-07-03T11:46:06,easy,fable,medium,3,13.096,386,,6520,1092,1,0,
2026-07-03T11:46:06,realistic,opus,xhigh,1,45.106,2696,,7402,1242,,0,
2026-07-03T11:46:24,audit,fable,medium,8,24.317,782,,7116,980,3,0,
2026-07-03T11:46:25,easy,fable,xhigh,1,19.71,713,,6347,1108,1,0,
2026-07-03T11:46:37,realistic,fable,xhigh,5,31.058,1373,,6200,1058,,0,
2026-07-03T11:46:56,realistic,opus,medium,5,32.282,1515,,7381,1148,,0,
2026-07-03T11:46:57,realistic,fable,xhigh,8,31.276,1483,,6349,1074,,0,
2026-07-03T11:47:04,realistic,fable,xhigh,2,27.067,1324,,6771,987,,0,
2026-07-03T11:47:20,realistic,fable,low,1,23.976,754,,6771,1093,,0,
2026-07-03T11:47:29,audit,fable,xhigh,7,24.394,1173,,7116,1255,3,0,
2026-07-03T11:47:46,easy,fable,high,3,17.665,442,,6769,1223,1,0,
2026-07-03T11:47:50,easy,fable,max,3,29.652,1341,,6769,1158,1,0,
2026-07-03T11:48:07,audit,fable,medium,5,20.231,748,,7116,978,3,0,
2026-07-03T11:48:15,realistic,opus,max,2,78.541,5562,,6771,1417,,0,
2026-07-03T11:48:19,audit,fable,high,3,29.505,863,,7116,899,3,0,
2026-07-03T11:48:42,audit,fable,high,8,27.048,852,,7116,925,3,0,
2026-07-03T11:48:57,realistic,fable,max,7,50.603,2836,,7402,1145,,0,
2026-07-03T11:49:10,realistic,opus,high,4,27.528,1260,,7391,977,,0,
2026-07-03T11:49:12,easy,fable,low,3,14.694,316,,5997,905,1,0,
2026-07-03T11:49:34,realistic,opus,medium,6,23.665,1212,,7381,1063,,0,
2026-07-03T11:49:40,audit,fable,xhigh,6,27.713,1267,,6943,968,3,0,
2026-07-03T11:49:51,realistic,opus,max,3,92.333,6892,,6349,1358,,0,
2026-07-03T11:50:00,easy,fable,xhigh,8,20.252,746,,6520,1144,1,0,
2026-07-03T11:50:11,audit,fable,max,8,37.579,1804,,6694,1298,3,0,
